Time, Pellets, Tension, Distance, Reward
Game 0
Game 1
0.2333331, 41, 0.05399097, 5, 0.09035831
0.25, 40, 0.05399097, 5, 0.119959
0.2666667, 40, 0.004431848, 6, 0.14895
0.2833333, 40, 0.004431848, 6, 0.1283818
0.3, 40, 0.004431848, 6, 0.1078137
0.3166666, 40, 0.004431848, 6, 0.08724553
0.3333333, 40, 0.004431848, 6, 0.06667738
0.3499999, 40, 0.004431848, 6, 0.04610924
0.3666666, 40, 0.004431848, 6, 0.02554108
0.3833332, 40, 0.004431848, 6, 0.004972933
0.3999999, 39, 0.004431848, 6, -0.01559522
0.4166665, 39, 0.05399097, 5, -0.0368044
0.4333332, 39, 0.05399097, 5, -0.008454455
0.4499998, 39, 0.05399097, 5, 0.01989548
0.4666665, 39, 0.004431848, 6, -0.001313692
0.4833331, 39, 0.004431848, 6, -0.02252287
0.5, 39, 0.004431848, 6, -0.04373204
0.5166667, 39, 0.004431848, 6, -0.06494122
0.5333333, 39, 0.004431848, 6, -0.0861504
0.55, 38, 0.004431848, 6, -0.1073596
0.5666666, 38, 0.05399097, 5, -0.1292435
0.5833333, 38, 0.05399097, 5, -0.1015683
0.5999999, 38, 0.05399097, 5, -0.07389314
0.6166666, 38, 0.05399097, 5, -0.04621797
0.6333332, 38, 0.05399097, 5, -0.01854279
0.6499999, 38, 0.05399097, 5, 0.009132389
0.6666665, 38, 0.05399097, 5, 0.03680757
0.6833332, 38, 0.05399097, 5, 0.06448276
0.6999998, 37, 0.05399097, 5, 0.09215794
0.7166665, 37, 0.2419707, 4, 0.1191219
0.7333331, 37, 0.2419707, 4, 0.3340656
0.75, 37, 0.2419707, 4, 0.5490093
0.7666667, 37, 0.2419707, 4, 0.763953
0.7833333, 37, 0.2419707, 4, 0.9788967
0.8, 37, 0.2419707, 4, 1.193841
0.8166666, 37, 0.2419707, 4, 1.408784
0.8333333, 36, 0.2419707, 4, 1.623728
0.8499999, 36, 0.2419707, 4, 1.837921
0.8666666, 36, 0.3989423, 3, 2.052114
0.8833332, 36, 0.2419707, 4, 2.266307
0.8999999, 36, 0.2419707, 4, 2.4805
0.9166665, 36, 0.2419707, 4, 2.694693
0.9333332, 36, 0.2419707, 4, 2.908886
0.9499998, 36, 0.2419707, 4, 3.12308
0.9666665, 36, 0.2419707, 4, 3.337273
0.9833331, 35, 0.2419707, 4, 3.551466
1, 35, 0.2419707, 4, 3.764865
1.016667, 35, 0.05399097, 5, 3.978265
1.033333, 35, 0.05399097, 5, 4.003684
1.05, 35, 0.05399097, 5, 4.029103
1.066667, 35, 0.05399097, 5, 4.054523
1.083333, 35, 0.05399097, 5, 4.079942
1.1, 35, 0.05399097, 5, 4.105361
1.116667, 35, 0.05399097, 5, 4.13078
1.133333, 34, 0.05399097, 5, 4.156199
1.15, 34, 0.05399097, 5, 4.180779
1.166667, 34, 0.004431848, 6, 4.205358
1.183333, 34, 0.004431848, 6, 4.180377
1.2, 34, 0.004431848, 6, 4.155397
1.216666, 34, 0.004431848, 6, 4.130417
1.233333, 34, 0.004431848, 6, 4.105437
1.25, 34, 0.004431848, 6, 4.080457
1.266667, 34, 0.004431848, 6, 4.055477
1.283333, 34, 0.004431848, 6, 4.030497
1.3, 34, 0.004431848, 6, 4.005517
1.316667, 34, 0.05399097, 5, 3.980537
1.333333, 34, 0.05399097, 5, 4.005116
1.35, 34, 0.05399097, 5, 4.029695
1.366667, 34, 0.05399097, 5, 4.054274
1.383333, 34, 0.05399097, 5, 4.078853
1.4, 34, 0.05399097, 5, 4.103432
1.416667, 34, 0.05399097, 5, 4.128011
1.433333, 34, 0.05399097, 5, 4.15259
1.45, 34, 0.05399097, 5, 4.177169
1.466666, 34, 0.2419707, 4, 4.201748
1.483333, 34, 0.2419707, 4, 4.414307
1.5, 34, 0.2419707, 4, 4.626866
1.516667, 34, 0.2419707, 4, 4.839425
1.533333, 34, 0.2419707, 4, 5.051983
1.55, 34, 0.2419707, 4, 5.264542
1.566667, 34, 0.2419707, 4, 5.477101
1.583333, 33, 0.2419707, 4, 5.68966
1.6, 33, 0.2419707, 4, 5.901327
1.616667, 33, 0.3989423, 3, 6.112995
1.633333, 33, 0.3989423, 3, 6.481634
1.65, 33, 0.3989423, 3, 6.850274
1.666667, 33, 0.3989423, 3, 7.218913
1.683333, 33, 0.3989423, 3, 7.587553
1.7, 33, 0.3989423, 3, 7.956192
1.716666, 33, 0.3989423, 3, 8.324831
1.733333, 33, 0.2419707, 4, 8.536499
1.75, 32, 0.2419707, 4, 8.748167
1.766667, 32, 0.3989423, 3, 8.958888
1.783333, 32, 0.3989423, 3, 9.32658
1.8, 32, 0.3989423, 3, 9.694272
1.816666, 32, 0.3989423, 3, 10.06196
1.833333, 32, 0.3989423, 3, 10.42966
1.85, 32, 0.3989423, 3, 10.79735
1.866667, 32, 0.3989423, 3, 11.16504
1.883333, 32, 0.3989423, 3, 11.53273
1.9, 31, 0.3989423, 3, 11.90042
1.916667, 31, 0.2419707, 2, 12.26711
1.933333, 31, 0.2419707, 2, 12.47682
1.95, 31, 0.2419707, 2, 12.68653
1.966666, 31, 0.2419707, 2, 12.89625
1.983333, 31, 0.2419707, 2, 13.10596
2, 31, 0.2419707, 2, 13.31567
2.016667, 31, 0.2419707, 2, 13.52539
2.033333, 31, 0.2419707, 2, 13.7351
2.05, 30, 0.2419707, 2, 13.94481
2.066666, 30, 0.05399097, 1, 14.15345
2.083333, 30, 0.05399097, 1, 14.17411
2.1, 30, 0.05399097, 1, 14.19476
2.116667, 30, 0.05399097, 1, 14.21542
2.133333, 30, 0.05399097, 1, 14.23608
2.15, 30, 0.05399097, 1, 14.25674
Game 3
0.01666689, 42, 0.004431848, 6, 0
0.0333333, 42, 0.004431848, 6, -0.01937767
0.05000019, 42, 0.004431848, 6, -0.03875535
0.0666666, 42, 0.004431848, 6, -0.05813302
0.08333349, 42, 0.004431848, 6, -0.0775107
0.0999999, 41, 0.004431848, 6, -0.09688837
0.1166668, 41, 0.05399097, 5, -0.1168468
0.1333332, 41, 0.05399097, 5, -0.08724604
0.1500001, 41, 0.05399097, 5, -0.05764531
0.1666665, 41, 0.05399097, 5, -0.02804459
0.1833334, 41, 0.05399097, 5, 0.001556135
0.1999998, 41, 0.05399097, 5, 0.03115686
0.2166667, 41, 0.05399097, 5, 0.06075758
0.2333336, 41, 0.05399097, 5, 0.09035831
0.25, 40, 0.05399097, 5, 0.119959
0.2666669, 40, 0.004431848, 6, 0.14895
0.2833333, 40, 0.004431848, 6, 0.1283818
0.3000002, 40, 0.004431848, 6, 0.1078137
0.3166666, 40, 0.004431848, 6, 0.08724553
0.3333335, 40, 0.004431848, 6, 0.06667738
0.3499999, 40, 0.004431848, 6, 0.04610924
0.3666668, 40, 0.004431848, 6, 0.02554108
0.3833332, 40, 0.05399097, 5, 0.05453205
0.4000001, 39, 0.05399097, 5, 0.08352302
0.4166665, 39, 0.2419707, 4, 0.111873
0.4333334, 39, 0.2419707, 4, 0.3282027
0.4499998, 39, 0.2419707, 4, 0.5445324
0.4666667, 39, 0.2419707, 4, 0.7608621
0.4833336, 39, 0.2419707, 4, 0.9771917
0.5, 39, 0.2419707, 4, 1.193521
0.5166669, 39, 0.2419707, 4, 1.409851
0.5333333, 39, 0.2419707, 4, 1.626181
0.5500002, 38, 0.2419707, 4, 1.84251
0.5666666, 38, 0.3989423, 3, 2.058166
0.5833335, 38, 0.3989423, 3, 2.430792
0.5999999, 38, 0.3989423, 3, 2.803419
0.6166668, 38, 0.3989423, 3, 3.176045
0.6333332, 38, 0.3989423, 3, 3.548672
0.6500001, 38, 0.3989423, 3, 3.921298
0.6666665, 38, 0.3989423, 3, 4.293925
0.6833334, 38, 0.3989423, 3, 4.666552
0.6999998, 37, 0.3989423, 3, 5.039178
0.7166667, 37, 0.2419707, 2, 5.411094
0.7333336, 37, 0.2419707, 2, 5.626037
0.75, 37, 0.2419707, 2, 5.840981
0.7666669, 37, 0.2419707, 2, 6.055924
0.7833333, 37, 0.2419707, 2, 6.270867
0.8000002, 37, 0.2419707, 2, 6.485811
0.8166666, 37, 0.05399097, 1, 6.512774
0.8333335, 36, 0.05399097, 1, 6.539738
Game 4
0.01666641, 42, 0.004431848, 6, 0
0.0333333, 42, 0.004431848, 6, -0.01937767
0.04999971, 42, 0.004431848, 6, -0.03875535
0.0666666, 42, 0.004431848, 6, -0.05813302
0.08333302, 42, 0.004431848, 6, -0.0775107
0.0999999, 41, 0.004431848, 6, -0.09688837
0.1166663, 41, 0.05399097, 5, -0.1168468
0.1333332, 41, 0.05399097, 5, -0.08724604
0.1500001, 41, 0.05399097, 5, -0.05764531
0.1666665, 41, 0.05399097, 5, -0.02804459
0.1833334, 41, 0.05399097, 5, 0.001556135
0.1999998, 41, 0.05399097, 5, 0.03115686
0.2166667, 41, 0.05399097, 5, 0.06075758
0.2333331, 41, 0.05399097, 5, 0.09035831
0.25, 40, 0.05399097, 5, 0.119959
0.2666664, 40, 0.004431848, 6, 0.14895
0.2833333, 40, 0.004431848, 6, 0.1283818
0.2999997, 40, 0.004431848, 6, 0.1078137
0.3166666, 40, 0.004431848, 6, 0.08724553
0.333333, 40, 0.004431848, 6, 0.06667738
0.3499999, 40, 0.004431848, 6, 0.04610924
0.3666663, 40, 0.004431848, 6, 0.02554108
0.3833332, 40, 0.004431848, 6, 0.004972933
0.4000001, 39, 0.004431848, 6, -0.01559522
0.4166665, 39, 0.05399097, 5, -0.0368044
0.4333334, 39, 0.05399097, 5, -0.008454455
0.4499998, 39, 0.05399097, 5, 0.01989548
0.4666667, 39, 0.2419707, 4, 0.2362252
0.4833331, 39, 0.2419707, 4, 0.4525549
0.5, 39, 0.2419707, 4, 0.6688846
0.5166664, 39, 0.2419707, 4, 0.8852143
0.5333333, 39, 0.2419707, 4, 1.101544
0.5499997, 38, 0.2419707, 4, 1.317874
0.5666666, 38, 0.3989423, 3, 1.533529
0.583333, 38, 0.3989423, 3, 1.906155
0.5999999, 38, 0.3989423, 3, 2.278782
0.6166663, 38, 0.3989423, 3, 2.651408
0.6333332, 38, 0.3989423, 3, 3.024035
0.6500001, 38, 0.3989423, 3, 3.396661
0.6666665, 38, 0.3989423, 3, 3.769288
0.6833334, 38, 0.3989423, 3, 4.141914
0.6999998, 37, 0.3989423, 3, 4.514541
0.7166667, 37, 0.2419707, 2, 4.886456
0.7333331, 37, 0.2419707, 2, 5.1014
0.75, 37, 0.2419707, 2, 5.316343
0.7666664, 37, 0.2419707, 2, 5.531287
0.7833333, 37, 0.2419707, 2, 5.74623
0.7999997, 37, 0.05399097, 1, 5.773194
0.8166666, 37, 0.05399097, 1, 5.800158
0.833333, 36, 0.05399097, 1, 5.827121
0.8499999, 36, 0.05399097, 1, 5.853334
Game 5
0.01666641, 42, 0.004431848, 6, 0
0.0333333, 42, 0.004431848, 6, -0.01937767
0.05000019, 42, 0.004431848, 6, -0.03875535
0.0666666, 42, 0.004431848, 6, -0.05813302
0.08333349, 42, 0.004431848, 6, -0.0775107
0.0999999, 41, 0.004431848, 6, -0.09688837
0.1166668, 41, 0.05399097, 5, -0.1168468
0.1333332, 41, 0.05399097, 5, -0.08724604
0.1500001, 41, 0.05399097, 5, -0.05764531
0.1666665, 41, 0.05399097, 5, -0.02804459
0.1833334, 41, 0.05399097, 5, 0.001556135
0.1999998, 41, 0.05399097, 5, 0.03115686
0.2166667, 41, 0.05399097, 5, 0.06075758
0.2333331, 41, 0.05399097, 5, 0.09035831
0.25, 40, 0.05399097, 5, 0.119959
0.2666664, 40, 0.004431848, 6, 0.14895
0.2833333, 40, 0.004431848, 6, 0.1283818
0.3000002, 40, 0.004431848, 6, 0.1078137
0.3166666, 40, 0.004431848, 6, 0.08724553
0.3333335, 40, 0.004431848, 6, 0.06667738
0.3499999, 40, 0.05399097, 5, 0.09566835
0.3666668, 40, 0.05399097, 5, 0.1246593
0.3833332, 40, 0.05399097, 5, 0.1536503
0.4000001, 39, 0.05399097, 5, 0.1826412
0.4166665, 39, 0.2419707, 4, 0.2109912
0.4333334, 39, 0.2419707, 4, 0.4273209
0.4499998, 39, 0.2419707, 4, 0.6436506
0.4666667, 39, 0.2419707, 4, 0.8599803
0.4833331, 39, 0.2419707, 4, 1.07631
0.5, 39, 0.2419707, 4, 1.29264
0.5166664, 39, 0.2419707, 4, 1.508969
0.5333333, 39, 0.2419707, 4, 1.725299
0.5500002, 38, 0.2419707, 4, 1.941629
0.5666666, 38, 0.3989423, 3, 2.157284
0.5833335, 38, 0.3989423, 3, 2.52991
0.5999999, 38, 0.3989423, 3, 2.902537
0.6166668, 38, 0.3989423, 3, 3.275163
0.6333332, 38, 0.3989423, 3, 3.64779
0.6500001, 38, 0.3989423, 3, 4.020417
0.6666665, 38, 0.3989423, 3, 4.393044
0.6833334, 38, 0.3989423, 3, 4.76567
0.6999998, 37, 0.3989423, 3, 5.138297
0.7166667, 37, 0.2419707, 2, 5.510212
0.7333331, 37, 0.05399097, 1, 5.537176
0.75, 37, 0.05399097, 1, 5.56414
0.7666664, 37, 0.05399097, 1, 5.591104
0.7833333, 37, 0.05399097, 1, 5.618067
0.8000002, 37, 0.05399097, 1, 5.645031
0.8166666, 37, 0.05399097, 1, 5.671995
0.8333335, 36, 0.05399097, 1, 5.698958
0.8499999, 36, 0.05399097, 1, 5.725172
Game 6
0.01666689, 42, 0.004431848, 6, 0
0.0333333, 42, 0.004431848, 6, -0.01937767
0.05000019, 42, 0.004431848, 6, -0.03875535
0.0666666, 42, 0.004431848, 6, -0.05813302
0.08333349, 42, 0.004431848, 6, -0.0775107
0.0999999, 41, 0.004431848, 6, -0.09688837
0.1166668, 41, 0.05399097, 5, -0.1168468
0.1333332, 41, 0.05399097, 5, -0.08724604
0.1500001, 41, 0.05399097, 5, -0.05764531
0.1666665, 41, 0.05399097, 5, -0.02804459
0.1833334, 41, 0.05399097, 5, 0.001556135
0.2000003, 41, 0.05399097, 5, 0.03115686
0.2166667, 41, 0.05399097, 5, 0.06075758
0.2333336, 41, 0.05399097, 5, 0.09035831
0.25, 40, 0.05399097, 5, 0.119959
0.2666669, 40, 0.004431848, 6, 0.14895
0.2833333, 40, 0.004431848, 6, 0.1283818
0.3000002, 40, 0.004431848, 6, 0.1078137
0.3166666, 40, 0.004431848, 6, 0.08724553
0.3333335, 40, 0.004431848, 6, 0.06667738
0.3499999, 40, 0.05399097, 5, 0.09566835
0.3666668, 40, 0.05399097, 5, 0.1246593
0.3833332, 40, 0.05399097, 5, 0.1536503
0.4000001, 39, 0.05399097, 5, 0.1826412
0.4166665, 39, 0.2419707, 4, 0.2109912
0.4333334, 39, 0.2419707, 4, 0.4273209
0.4500003, 39, 0.2419707, 4, 0.6436506
0.4666667, 39, 0.2419707, 4, 0.8599803
0.4833336, 39, 0.2419707, 4, 1.07631
0.5, 39, 0.2419707, 4, 1.29264
0.5166669, 39, 0.2419707, 4, 1.508969
0.5333333, 39, 0.2419707, 4, 1.725299
0.5500002, 38, 0.2419707, 4, 1.941629
0.5666666, 38, 0.3989423, 3, 2.157284
0.5833335, 38, 0.3989423, 3, 2.52991
0.5999999, 38, 0.3989423, 3, 2.902537
0.6166668, 38, 0.3989423, 3, 3.275163
0.6333332, 38, 0.3989423, 3, 3.64779
0.6500001, 38, 0.3989423, 3, 4.020417
0.6666665, 38, 0.3989423, 3, 4.393044
0.6833334, 38, 0.2419707, 2, 4.608698
0.7000003, 37, 0.2419707, 2, 4.824353
0.7166667, 37, 0.05399097, 1, 5.039297
0.7333336, 37, 0.05399097, 1, 5.06626
0.75, 37, 0.05399097, 1, 5.093224
0.7666669, 37, 0.05399097, 1, 5.120188
0.7833333, 37, 0.05399097, 1, 5.147151
0.8000002, 37, 0.05399097, 1, 5.174115
0.8166666, 37, 0.05399097, 1, 5.201079
0.8333335, 36, 0.05399097, 1, 5.228043
0.8499999, 36, 0.05399097, 1, 5.254256
Game 7
0.01666689, 42, 0.004431848, 6, 0
0.0333333, 42, 0.004431848, 6, -0.01937767
0.05000019, 42, 0.004431848, 6, -0.03875535
0.0666666, 42, 0.004431848, 6, -0.05813302
0.08333349, 42, 0.004431848, 6, -0.0775107
0.0999999, 41, 0.004431848, 6, -0.09688837
0.1166673, 41, 0.05399097, 5, -0.1168468
0.1333337, 41, 0.05399097, 5, -0.08724604
0.1500001, 41, 0.05399097, 5, -0.05764531
0.1666665, 41, 0.05399097, 5, -0.02804459
0.1833339, 41, 0.05399097, 5, 0.001556135
0.2000003, 41, 0.05399097, 5, 0.03115686
0.2166667, 41, 0.05399097, 5, 0.06075758
0.2333331, 41, 0.05399097, 5, 0.09035831
0.2500005, 40, 0.05399097, 5, 0.119959
0.2666669, 40, 0.004431848, 6, 0.14895
0.2833333, 40, 0.004431848, 6, 0.1283818
0.2999997, 40, 0.004431848, 6, 0.1078137
0.3166671, 40, 0.004431848, 6, 0.08724553
0.3333335, 40, 0.004431848, 6, 0.06667738
0.3499999, 40, 0.004431848, 6, 0.04610924
0.3666673, 40, 0.004431848, 6, 0.02554108
0.3833337, 40, 0.05399097, 5, 0.05453205
0.4000001, 39, 0.05399097, 5, 0.08352302
0.4166665, 39, 0.004431848, 6, 0.111873
0.4333339, 39, 0.004431848, 6, 0.0906638
0.4500003, 39, 0.004431848, 6, 0.06945463
0.4666667, 39, 0.004431848, 6, 0.04824545
0.4833331, 39, 0.004431848, 6, 0.02703627
0.5000005, 39, 0.004431848, 6, 0.005827098
0.5166669, 39, 0.004431848, 6, -0.01538208
0.5333333, 39, 0.004431848, 6, -0.03659126
0.5499997, 38, 0.004431848, 6, -0.05780043
0.5666671, 38, 0.05399097, 5, -0.07968438
0.5833335, 38, 0.05399097, 5, -0.0520092
0.5999999, 38, 0.05399097, 5, -0.02433402
0.6166673, 38, 0.05399097, 5, 0.003341157
0.6333337, 38, 0.05399097, 5, 0.03101633
0.6500001, 38, 0.05399097, 5, 0.05869151
0.6666665, 38, 0.05399097, 5, 0.08636669
0.6833339, 38, 0.05399097, 5, 0.1140419
0.7000003, 37, 0.05399097, 5, 0.141717
0.7166667, 37, 0.2419707, 4, 0.168681
0.7333331, 37, 0.2419707, 4, 0.3836247
0.7500005, 37, 0.3989423, 3, 0.75554
0.7666669, 37, 0.3989423, 3, 1.127455
0.7833333, 37, 0.3989423, 3, 1.49937
0.7999997, 37, 0.3989423, 3, 1.871286
0.8166671, 37, 0.3989423, 3, 2.243201
0.8333335, 36, 0.3989423, 3, 2.615116
0.8499999, 36, 0.3989423, 3, 2.986281
0.8666673, 36, 0.2419707, 2, 3.357445
0.8833337, 36, 0.2419707, 2, 3.571638
0.9000001, 36, 0.2419707, 2, 3.785831
0.9166665, 36, 0.2419707, 2, 4.000024
0.9333339, 36, 0.2419707, 2, 4.214217
0.9500003, 36, 0.2419707, 2, 4.42841
0.9666667, 36, 0.2419707, 2, 4.642603
0.9833331, 35, 0.2419707, 2, 4.856796
1, 35, 0.2419707, 2, 5.070195
1.016667, 35, 0.3989423, 3, 5.283594
1.033333, 35, 0.3989423, 3, 5.653965
1.05, 35, 0.3989423, 3, 6.024335
1.066667, 35, 0.3989423, 3, 6.394706
1.083333, 35, 0.2419707, 2, 6.608105
1.1, 35, 0.2419707, 2, 6.821504
1.116667, 35, 0.2419707, 2, 7.034903
1.133334, 34, 0.2419707, 2, 7.248302
1.15, 34, 0.2419707, 2, 7.460861
1.166667, 34, 0.3989423, 3, 7.673419
1.183334, 34, 0.3989423, 3, 8.042951
1.2, 34, 0.3989423, 3, 8.412481
1.216667, 34, 0.3989423, 3, 8.782012
1.233333, 34, 0.3989423, 3, 9.151543
1.25, 34, 0.3989423, 3, 9.521073
1.266667, 34, 0.3989423, 3, 9.890604
1.283333, 34, 0.3989423, 3, 10.26013
1.3, 34, 0.3989423, 3, 10.62967
1.316667, 34, 0.2419707, 2, 10.9992
1.333333, 34, 0.2419707, 2, 11.21176
1.35, 34, 0.2419707, 2, 11.42432
1.366667, 34, 0.2419707, 2, 11.63688
1.383334, 34, 0.2419707, 2, 11.84943
1.4, 34, 0.2419707, 2, 12.06199
1.416667, 34, 0.2419707, 2, 12.27455
1.433334, 34, 0.2419707, 2, 12.48711
1.45, 34, 0.3989423, 3, 12.85664
1.466667, 34, 0.2419707, 2, 13.22618
1.483333, 34, 0.2419707, 2, 13.43874
1.5, 34, 0.2419707, 2, 13.65129
1.516667, 34, 0.2419707, 2, 13.86385
1.533333, 34, 0.2419707, 2, 14.07641
1.55, 34, 0.2419707, 2, 14.28897
1.566667, 34, 0.2419707, 2, 14.50153
1.583333, 33, 0.2419707, 2, 14.71409
1.6, 33, 0.2419707, 2, 14.92576
1.616667, 33, 0.05399097, 1, 15.13743
1.633334, 33, 0.05399097, 1, 15.16112
1.65, 33, 0.05399097, 1, 15.18481
1.666667, 33, 0.05399097, 1, 15.20849
1.683334, 33, 0.05399097, 1, 15.23218
1.7, 33, 0.05399097, 1, 15.25587
1.716667, 33, 0.05399097, 1, 15.27956
1.733333, 33, 0.05399097, 1, 15.30325
