Time, Pellets, Tension, Position, Distance, Reward
140.0333, 42, 0, (-0.6 0.45 0), 1.2, -8.580864
141.0333, 42, 0, (-0.6 0.45 0), 1.2, -8.652287
142.0333, 42, 0, (-0.6 0.45 0), 1.2, -8.723709
143.0333, 42, 0, (-0.6 0.45 0), 1.2, -8.795132
144.0333, 42, 0, (-0.6 0.45 0), 1.2, -8.866554
145.0333, 42, 0, (-0.6 0.45 0), 1.2, -8.937977
146.0333, 42, 0, (-0.6 0.45 0), 1.2, -9.009399
147.0333, 42, 0, (-0.6 0.45 0), 1.2, -9.080822
148.0333, 42, 0, (-0.6 0.45 0), 1.2, -9.152245
149.0333, 42, 0, (-0.6 0.45 0), 1.2, -9.223667
150.0333, 42, 0, (-0.6 0.45 0), 1.2, -9.29509
151.0333, 42, 0, (-0.6 0.45 0), 1.2, -9.366512
152.0333, 42, 0, (-0.6 0.45 0), 1.2, -9.437935
153.0333, 42, 0, (-0.6 0.45 0), 1.2, -9.509357
154.0333, 42, 0, (-0.6 0.45 0), 1.2, -9.58078
155.0333, 42, 0, (-0.6 0.45 0), 1.2, -9.652203
156.0333, 42, 0, (-0.6 0.45 0), 1.2, -9.723625
157.0333, 42, 0, (-0.6 0.45 0), 1.2, -9.795048
158.0333, 42, 0, (-0.6 0.45 0), 1.2, -9.86647
159.0333, 42, 0, (-0.6 0.45 0), 1.2, -9.937893
160.0333, 42, 0, (-0.6 0.45 0), 1.2, -10.00932
161.0333, 42, 0, (-0.6 0.45 0), 1.2, -10.08074
162.0333, 42, 0, (-0.6 0.45 0), 1.2, -10.15216
163.0333, 42, 0, (-0.6 0.45 0), 1.2, -10.22358
164.0333, 42, 0, (-0.6 0.45 0), 1.2, -10.29501
165.0333, 42, 0, (-0.6 0.45 0), 1.2, -10.36643
166.0333, 42, 0, (-0.6 0.45 0), 1.2, -10.43785
167.0333, 42, 0, (-0.6 0.45 0), 1.2, -10.50927
168.0333, 42, 0, (-0.6 0.45 0), 1.2, -10.5807
169.0333, 42, 0, (-0.6 0.45 0), 1.2, -10.65212
170.0333, 42, 0, (-0.6 0.45 0), 1.2, -10.72354
171.0333, 42, 0, (-0.6 0.45 0), 1.2, -10.79496
172.0333, 42, 0, (-0.6 0.45 0), 1.2, -10.86639
173.0333, 42, 0, (-0.6 0.45 0), 1.2, -10.93781
174.0333, 42, 0, (-0.6 0.45 0), 1.2, -11.00923
175.0333, 42, 0, (-0.6 0.45 0), 1.2, -11.08065
176.0333, 42, 0, (-0.6 0.45 0), 1.2, -11.15208
177.0333, 42, 0, (-0.6 0.45 0), 1.2, -11.2235
178.0333, 42, 0, (-0.6 0.45 0), 1.2, -11.29492
179.0333, 42, 0, (-0.6 0.45 0), 1.2, -11.36634
180.0333, 42, 0, (-0.6 0.45 0), 1.2, -11.43777
181.0333, 42, 0, (-0.6 0.45 0), 1.2, -11.50919
